window,date_start_in,date_end_in,date_start_oos,date_end_oos,n_clusters,n_assets_total,s1_n_assets,s1_sharpe,s1_te,s1_return,s1_vol,s1_turnover,s1_hhi,s1_ceq,s1_corr,gmv_n_assets,gmv_sharpe,gmv_te,gmv_return,gmv_vol,gmv_turnover,gmv_hhi,gmv_ceq,gmv_corr,mv_n_assets,mv_sharpe,mv_te,mv_return,mv_vol,mv_turnover,mv_hhi,mv_ceq,mv_corr
0,2015-01-02,2015-07-02,2015-07-06,2015-08-03,8,50,13,0.2635889937016741,0.05605733988233937,0.0020630458172430366,0.1280869962135695,,0.08792489654131906,0.01735604383918996,0.8998288656037664,7,3.176931879476616,0.09815467806773862,0.02965765835464995,0.1180803660354412,,0.20274576026368574,0.3611903063551972,0.6594202501418756,2,2.653305690455813,0.19701760364536622,0.040755807526934085,0.1965916736165843,,0.6615625954234872,0.4829695201677454,0.301000723108988
1,2015-02-03,2015-08-03,2015-08-04,2015-09-01,11,50,12,-3.753179428904281,0.07638463467455853,-0.07238716229969655,0.24418597603150763,0.0,0.0901179228125755,-0.9761005729588281,0.9742721972772624,9,-1.423180350098874,0.12141773373770819,-0.029224438924640328,0.24252268432966131,0.0,0.1762603784663222,-0.40397077120567065,0.9120805153602344,1,-2.8115604922898516,0.2184769133325248,-0.0728300565801544,0.32063486011968306,0.0,1.0,-1.0042910186873526,0.7488516575237888
3,2015-04-06,2015-10-01,2015-10-02,2015-10-30,9,50,11,6.121454718846781,0.06453568286905506,0.06773972655441951,0.1365686867231044,0.0,0.09254020310222341,0.8173480255945818,0.8821251199637298,5,9.807340196359897,0.10468731356555674,0.11626330898773785,0.14266902446169272,0.0,0.29037270737683507,1.3788492078377614,0.7024275896929453,1,5.030601145986591,0.137940274255676,0.07730695323691306,0.19027811020828672,0.0,1.0,0.921007520045533,0.6894205191823788
5,2015-06-04,2015-12-01,2015-12-02,2015-12-31,9,50,11,-2.5014087067868287,0.0570413564040895,-0.03200626444122334,0.1589215786435281,0.027017384257006574,0.0967416007492291,-0.42278388867378003,0.9555930360231174,9,-1.0273719818944649,0.08928774681206761,-0.014620151527993563,0.16757602529479923,0.0,0.1793071834765838,-0.20024463747871807,0.8756173676445546,1,0.9866546777364853,0.25713532219484375,0.020865093114350808,0.3102814927393115,0.0,1.0,0.20986608148976554,0.560683132799246
6,2015-07-06,2015-12-31,2016-01-04,2016-02-02,10,50,11,-3.123180819470565,0.0781650312062136,-0.054583463276566935,0.21883472747653424,0.0074777883320200685,0.09765239640204887,-0.7313490614385089,0.944229416175223,6,1.759109913373528,0.07408615027002874,0.027294456981828086,0.20425610239928527,0.0,0.21252465810347182,0.31758837923027383,0.954308386938445,1,4.062957570977545,0.219663393931006,0.08913914179007176,0.27411249729709647,0.0,1.0,1.0385697850183493,0.6391486535363494
7,2015-08-04,2016-02-02,2016-02-03,2016-03-03,9,50,13,3.2070899806521207,0.08380026350709394,0.04986988515653645,0.19717351375473166,0.05772425649922089,0.0827076326814363,0.5934758058863856,0.9078733299549977,4,3.669828675769713,0.10889955461278969,0.039559170509227526,0.13571308213046016,0.1268169428811075,0.410976311933878,0.47962571981810387,0.8355425918474123,1,3.397454088211585,0.18943498936344538,0.05844154431590742,0.2175663338588169,1.8286901218123623e-22,1.0,0.6918365207970779,0.5794993973351207
10,2015-11-02,2016-05-03,2016-05-04,2016-06-02,9,50,10,1.3797760019982215,0.04207942786797369,0.012309660825691626,0.11643808756892159,0.0,0.10000000027921707,0.1471006507094576,0.9344484865759061,6,2.3401423647751534,0.08463142464876423,0.021307433828921196,0.11633890930682424,0.0,0.23260761962969578,0.2587148685219323,0.7062607668763251,3,6.983365443426553,0.23566137023508965,0.13403032601120102,0.2312564380801948,0.0,0.3817370529032145,1.5614686781056057,0.1759828361065324
14,2016-03-04,2016-08-31,2016-09-01,2016-09-30,9,50,14,0.09809934296038329,0.030940216455434953,0.0003081292539490743,0.1519068772820502,5.2443006048896734e-08,0.08619053782614317,-0.008173734513051163,0.9792554025451164,6,0.2536424851305141,0.06830996775545209,0.002421087084265583,0.18472576962157924,0.0,0.30881786753128637,0.012730693312179409,0.9416916223932772,1,3.0132270310314544,0.12049911671164286,0.039337655382936765,0.1658243247200532,0.0,1.0,0.4721686309801401,0.7077970003081198
15,2016-04-05,2016-09-30,2016-10-03,2016-10-31,9,50,12,0.5654932028164388,0.045041028525482925,0.0033512640149879758,0.0799030836197766,0.006752034121557976,0.08852169217295697,0.03880014789910819,0.8267191073085539,7,0.813262279676848,0.06725250768060836,0.006031773767695148,0.09891865919592863,0.0,0.293116839463956,0.07066191314313786,0.7343283534644441,3,3.8335353123499454,0.132079096950218,0.04293853933428404,0.14077413321976426,0.0,0.4243339653351208,0.5198452541796459,0.3669216972743437
16,2016-05-04,2016-10-31,2016-11-01,2016-11-30,10,50,12,6.529274703173918,0.0595367986085254,0.06589422014023705,0.12446306340070055,0.0,0.08737271526779411,0.7971624771906389,0.8798535719297457,8,1.6579201982550738,0.10420867876134955,0.01594493615196768,0.12472785688952881,0.0,0.377078411230427,0.1912317949379633,0.5951425318725352,1,0.4448485974448576,0.3445324165489251,0.007698901267619851,0.3391320339575127,0.0,1.0,0.035851873198461795,0.09848788690527946
