ticker,cluster,is_exemplar
ISRG,0,False
AMZN,3,False
ARE,0,True
IPG,6,False
DHR,0,False
HOLX,3,False
NTAP,4,False
HUM,3,False
XOM,6,False
CCI,6,False
WY,7,False
TECH,1,True
CBRE,7,False
STX,7,False
MHK,3,False
MCK,1,False
C,6,False
CMI,0,False
ETR,2,True
A,0,False
SW,3,True
CFG,4,True
RTX,0,False
REG,0,False
TYL,6,False
NOW,6,False
FICO,5,True
FRT,0,False
AKAM,2,False
ADP,0,False
URI,6,False
WMB,3,False
CAT,6,True
JNJ,0,False
MPC,0,False
TPR,4,False
BF-B,1,False
CMCSA,6,False
ROL,3,False
CDNS,7,False
OXY,0,False
WRB,0,False
HSY,2,False
FIS,6,False
GLW,7,True
CAH,0,False
EOG,0,False
CCL,6,False
DLR,6,False
DTE,1,False
