,ISRG,AMZN,ARE,IPG,DHR,HOLX,NTAP,HUM,XOM,CCI,WY,TECH,CBRE,STX,MHK,MCK,C,CMI,ETR,A,SW,CFG,RTX,REG,TYL,NOW,FICO,FRT,AKAM,ADP,URI,WMB,CAT,JNJ,MPC,TPR,BF-B,CMCSA,ROL,CDNS,OXY,WRB,HSY,FIS,GLW,CAH,EOG,CCL,DLR,DTE
ISRG,0.0,1.8702090462138141,2.215687012974775,1.6002585881320994,2.1555397499506954,1.8358000469203921,1.8045121343355721,1.7767389453234048,1.669850578567757,1.260356847460838,1.728848115858652,1.3508251722459756,1.7735252836312354,1.3606774122362795,1.8164690819474358,1.3050198557492807,1.7470647356335696,2.3076562640843012,1.8521444853509903,1.6128810338123605,1.606398988576284,1.7630710001530279,1.9664046186147464,1.9507265445066448,1.41688829054857,1.270234567575875,1.8077411391741816,1.4868175589170565,1.7663444225350473,1.9271401516732247,1.3722653586566287,1.5211932412091633,1.3414703251222524,2.9683849466330523,1.994325800772356,1.8276430728905209,1.6333890221337244,1.7533018401552665,1.7970015121110994,1.4642496505759808,2.149443092704854,1.863066271130479,1.784413174124231,1.1872271623390087,1.5591487095117582,1.5594916252014932,1.7694091628424582,1.2544538952184343,1.6384882907582285,1.6146734499669662
AMZN,1.8702090462138141,0.0,2.2904814715717667,1.176620382572364,2.308905151099292,0.406167562702442,0.7697982122267693,0.39233165469423786,1.7199778773499386,1.5841812570262799,1.1614464053230127,1.055229598074172,0.7695393173028505,1.0371898406578197,0.7167047428048957,0.8620994343495859,1.3197936007665048,2.112946133532089,0.7874142579308167,1.5520791143747767,0.3258104016623239,1.025336655077922,1.927855709950659,1.7006207526885344,1.0182606351522852,1.376992671270924,0.6231299042338532,1.3516120618789305,0.6103093706964751,1.6691545231100122,1.4470738116591007,0.5446738548669084,1.3559632363214158,2.709423139541639,1.2636619561014029,0.8585630667014378,1.0068958327885147,1.5448713151506968,0.43636736130950676,1.1881717705043338,2.033285728144421,1.9729792735687923,0.5821757616773506,1.400680898461922,1.0148594112308926,1.3126227227817322,1.4269945137351245,1.580815748405947,1.4028165592002513,1.1081592806866805
ARE,2.215687012974775,2.2904814715717667,0.0,1.692402151163254,2.2861524270802187,2.2485600347666503,2.0453178480779375,2.1713210822475926,2.0050899155033504,1.7589371239498568,1.9375875836753886,2.119177232676121,1.8793920712712153,1.947206771122506,2.159237600501466,1.9411786390005323,1.8663988380440673,1.4686087608482747,2.3148378009519557,1.7079714644686594,2.0364081662717632,2.050718983702365,1.6635619500911003,1.6125925999657778,1.878185199504457,1.9641450171497632,2.095224583984413,1.685947938715537,2.164668303185215,1.4348602837186273,2.050492647759991,2.0383960675369597,1.9396309413910868,2.3084977692190654,2.38762622121729,2.107394849104676,2.0717905226563866,2.3000498993000584,2.283508789431653,1.6166632462660866,1.413462836982213,1.6516231523673008,2.1826693732615854,2.1710707047635656,1.8850716952639488,1.6718466614647505,1.498818325238866,2.0342837577463615,2.07951891774896,2.3891954632532206
IPG,1.6002585881320994,1.176620382572364,1.692402151163254,0.0,2.040480606250598,1.0624676749321027,0.881110542564175,0.9959522624933986,1.022297077545268,1.0167181884928174,0.8170314376687489,0.7872423330861807,0.9944784752831957,0.7507427326072591,0.9012830145623204,0.8112981191917165,0.808139038076383,1.4918523278743487,1.0267714698771706,1.2241050021448618,0.9108458459639153,0.8801414516152537,1.2821852738108008,1.3181169451600547,0.8029371668259819,0.9264909088163222,1.1085175793275146,0.9421247416754672,0.9468223318101578,1.1628694890265137,0.970724965803736,0.8661641647450055,0.8991220013120496,2.4731381802696024,1.4141677427632768,0.8768784639511527,0.837890351283068,1.2960025774050732,1.099664633112848,0.9252299943183027,1.5533959841177407,1.531504702061059,0.9340985590764543,1.089301303395502,0.9056731145081723,0.8860837463007865,0.9692726427064643,1.0913265637886367,1.0618420368545372,1.040318394483829
DHR,2.1555397499506954,2.308905151099292,2.2861524270802187,2.040480606250598,0.0,2.2874747579950014,2.2349823353510887,2.2388798420960208,2.239880341743218,2.037264367108685,2.262779364312644,2.3627754886921157,2.008470586409756,2.0702920085225753,2.329478804333788,2.1259950535041447,2.304778945122197,2.147744960700954,2.599301455430362,1.905081585498086,2.0379064846794126,2.380289119087542,1.9268698412925225,1.8573684933899894,1.9498051350267758,2.138927170164032,2.342606137025217,2.056745428153434,2.4761380855978476,1.9278472101294688,2.0695438188169124,2.2211422971974306,2.274213528093215,1.990890664554563,2.748743058076273,2.3985430918280284,2.3540271882683137,2.583153490798158,2.263521941341443,2.105483856367689,1.8985693693316814,2.1297360383465955,2.409103781903513,2.1106001151965885,2.017656528813116,1.9652897749508942,2.0089714289374827,2.1448902540569437,2.3890357028672145,2.593904735037264
HOLX,1.8358000469203921,0.406167562702442,2.2485600347666503,1.0624676749321027,2.2874747579950014,0.0,0.6625241425314511,0.29793239607721506,1.6349189303244438,1.5360364519269538,0.9155004960226409,0.9647939695647954,0.7350256589879425,0.8869987423635,0.6108417521775152,0.8268050744221414,1.155754828541806,1.9276605553426491,0.6659035189235385,1.441531953570458,0.3098853707822462,0.7847542869565778,1.8934739841900685,1.5540077949273914,0.9062302437033605,1.276392629874867,0.5744344436510713,1.2413033340402564,0.4226934216003264,1.6162089123916454,1.3818429773528411,0.45761222293043075,1.3055692943033046,2.717824789721191,1.1677705389215998,0.6826514925168906,0.8824030930855836,1.5439834052295354,0.39946633207257404,1.0737566963445802,1.9371217838462296,1.8880831381851517,0.4945744872032489,1.3230454731449628,0.8976270933746774,1.2813696518145288,1.3988685636573217,1.4538596189945947,1.3113149558586223,1.0103035525075434
NTAP,1.8045121343355721,0.7697982122267693,2.0453178480779375,0.881110542564175,2.2349823353510887,0.6625241425314511,0.0,0.603798916566729,1.3795793445972488,1.3550904428081552,0.7703281479615569,0.878576122739579,0.6839655927161485,0.7555205996478851,0.6719223454942111,0.8426807216689762,0.9224653715274267,1.7140797471472036,0.6519501037084234,1.286758660837915,0.6495474735370138,0.6057855601911953,1.7025823931851005,1.3600462091167018,0.7384154613556745,1.1629953787951486,0.7849876812100406,1.069230890431645,0.6609044980102798,1.464253859750237,1.25070077056734,0.6479630320866305,1.171110258349223,2.6465365350701524,1.0585507538329504,0.6893336546624332,0.6548609935788017,1.5841535402556555,0.696705147871677,0.8825067160022213,1.79724290561943,1.6976606781480807,0.5424345419228425,1.1035071387580184,0.8179929111645885,1.2006096423878017,1.2814176249083529,1.1899920629163387,1.2541568430647163,1.0045227466386206
HUM,1.7767389453234048,0.39233165469423786,2.1713210822475926,0.9959522624933986,2.2388798420960208,0.29793239607721506,0.603798916566729,0.0,1.534696675689455,1.4574236448611957,0.95637784738134,0.888248380214925,0.6443267218775997,0.8450432556093737,0.5355512670313844,0.788006884686402,1.118949737675064,1.8999490574507856,0.6184436997865992,1.372926421254224,0.23695017660578055,0.7548888967115273,1.775707176438286,1.4731749222971107,0.8405153281063473,1.2203892237265261,0.5783128708672868,1.1762729209977958,0.47509681153857797,1.566727587212725,1.310204249728546,0.4446610565291391,1.2177205243103197,2.6306107413662656,1.0909221869404762,0.6692676186343127,0.8804324889435613,1.4790238984706432,0.3918762204694425,1.0309891654745713,1.8962602980252847,1.8222318021134267,0.43318514793477314,1.2275625003341988,0.8745613883781773,1.197338628219402,1.3134017332075785,1.370605010341004,1.2988756462192366,0.9573602058768659
XOM,1.669850578567757,1.7199778773499386,2.0050899155033504,1.022297077545268,2.239880341743218,1.6349189303244438,1.3795793445972488,1.534696675689455,0.0,1.2946561233317604,1.269550473393659,1.1670796616361105,1.5509123903799562,1.1615794989022528,1.396323890217564,1.1096906590989257,1.2231138349318482,1.693153951685342,1.502868796658598,1.504838082849242,1.4523758232061892,1.2388701574566505,1.5693204590160075,1.7924206876900761,1.1439480782085003,1.2082723284909507,1.5004697082387313,1.2199700423347495,1.494829214632935,1.482954407121258,1.0641250440723466,1.3741882927699498,0.9917093203825218,2.5923357777776226,1.7956215075705346,1.3478798785377482,1.255209871444985,1.4099851940407488,1.5295579193309343,1.3582521648940145,1.9606066831237619,1.6151962531950623,1.4113238103963324,1.165252599191278,1.2579340771242424,1.2944488538570436,1.3398253776772484,1.1095558163174664,1.446335432699195,1.3891399049787414
CCI,1.260356847460838,1.5841812570262799,1.7589371239498568,1.0167181884928174,2.037264367108685,1.5360364519269538,1.3550904428081552,1.4574236448611957,1.2946561233317604,0.0,1.2535677495711115,1.0554707904723908,1.2982228475212265,0.9839795261841904,1.3732537806248628,1.0932895317886344,1.1044284971982172,1.535737122499732,1.4949271705266622,1.2431822053961266,1.3172323664731416,1.28879854524296,1.425478051067614,1.1936025369270276,1.0287179412743912,0.9846555352897517,1.4538491417907489,0.9859363706080373,1.3874814087761405,1.2276223700317463,1.1663017408226322,1.2178836785342189,0.8807068594942811,2.685431441273203,1.9082079218485217,1.3690228961621562,1.2439680573837408,1.4713091065896373,1.616844293029579,1.193502726979984,1.4715210552626126,1.7235752451550976,1.4250969390213835,1.1247124543279097,1.0026338419538454,1.0446369281179704,1.1049771781094053,0.9300680550623601,1.2276579079222238,1.3729064050190072
