#,Company,Symbol,Weight,Price,Chg,% Chg
1,Nvidia,NVDA,7.15%,181.28,1.36,(0.76%)
2,Apple Inc.,AAPL,6.85%,285.72,2.62,(0.92%)
3,Microsoft,MSFT,5.91%,490.45,3.71,(0.76%)
4,Amazon,AMZN,4.08%,235.0,1.12,(0.48%)
5,Alphabet Inc. (Class A),GOOGL,3.21%,316.77,1.88,(0.60%)
6,Alphabet Inc. (Class C),GOOG,2.99%,317.07,1.95,(0.62%)
7,Broadcom,AVGO,2.93%,382.21,-3.87,(-1.00%)
8,Meta Platforms,META,2.65%,647.53,6.66,(1.04%)
9,"Tesla, Inc.",TSLA,2.31%,427.19,-2.95,(-0.69%)
10,Berkshire Hathaway,BRK.B,1.77%,506.4,-2.15,(-0.42%)
11,Lilly (Eli),LLY,1.52%,1049.22,-8.67,(-0.82%)
12,Walmart,WMT,1.45%,111.79,0.26,(0.23%)
13,JPMorgan Chase,JPM,1.36%,308.86,-0.06,(-0.02%)
14,Visa Inc.,V,1.03%,330.39,0.0,(0.00%)
15,Oracle Corporation,ORCL,0.93%,201.42,0.48,(0.24%)
16,Mastercard,MA,0.80%,551.67,7.7,(1.42%)
17,Johnson & Johnson,JNJ,0.80%,204.05,-1.3,(-0.63%)
18,ExxonMobil,XOM,0.79%,115.19,-1.44,(-1.23%)
19,Netflix,NFLX,0.75%,109.31,0.18,(0.16%)
20,Palantir Technologies,PLTR,0.66%,171.24,3.75,(2.24%)
21,Costco,COST,0.66%,915.11,3.15,(0.34%)
22,AbbVie,ABBV,0.64%,223.59,-1.52,(-0.68%)
23,Bank of America,BAC,0.63%,53.26,0.02,(0.03%)
24,Home Depot (The),HD,0.57%,352.4,-4.93,(-1.38%)
25,Advanced Micro Devices,AMD,0.57%,215.31,-4.45,(-2.03%)
26,Procter & Gamble,PG,0.55%,144.45,-2.99,(-2.03%)
27,GE Aerospace,GE,0.50%,289.93,1.48,(0.51%)
28,Coca-Cola Company (The),KO,0.49%,70.57,-1.39,(-1.92%)
29,Cisco,CSCO,0.49%,76.59,0.55,(0.72%)
30,Chevron Corporation,CVX,0.49%,150.25,-2.29,(-1.50%)
31,UnitedHealth Group,UNH,0.48%,324.4,1.19,(0.37%)
32,IBM,IBM,0.46%,304.68,-0.99,(-0.33%)
33,Caterpillar Inc.,CAT,0.44%,581.59,13.53,(2.38%)
34,Wells Fargo,WFC,0.44%,86.49,1.09,(1.28%)
35,Micron Technology,MU,0.44%,240.15,-0.31,(-0.13%)
36,Morgan Stanley,MS,0.44%,169.47,1.0,(0.59%)
37,Merck & Co.,MRK,0.41%,100.94,-0.89,(-0.87%)
38,American Express,AXP,0.40%,362.2,1.89,(0.52%)
39,Goldman Sachs,GS,0.40%,816.79,5.92,(0.73%)
40,Philip Morris International,PM,0.39%,154.72,-1.43,(-0.92%)
41,T-Mobile US,TMUS,0.38%,208.78,2.15,(1.04%)
42,RTX Corporation,RTX,0.37%,168.22,0.19,(0.12%)
43,Salesforce,CRM,0.36%,235.42,2.59,(1.11%)
44,AppLovin Corporation,APP,0.36%,659.13,35.54,(5.70%)
45,Abbott Laboratories,ABT,0.36%,125.94,-2.07,(-1.62%)
46,Thermo Fisher Scientific,TMO,0.35%,581.23,-3.92,(-0.67%)
47,McDonald's,MCD,0.35%,300.0,-3.57,(-1.18%)
48,Applied Materials,AMAT,0.34%,264.83,10.08,(3.96%)
49,Intel,INTC,0.33%,43.1,3.09,(7.73%)
50,Intuitive Surgical,ISRG,0.33%,568.99,1.62,(0.29%)
51,PepsiCo,PEP,0.33%,146.79,-2.72,(-1.82%)
52,Lam Research,LRCX,0.32%,158.39,3.6,(2.33%)
53,Linde plc,LIN,0.31%,406.85,-0.29,(-0.07%)
54,Walt Disney Company (The),DIS,0.31%,105.35,-1.42,(-1.33%)
55,Citigroup,C,0.30%,103.84,1.16,(1.13%)
56,Uber,UBER,0.30%,87.86,1.29,(1.49%)
57,Amgen,AMGN,0.30%,338.79,1.3,(0.39%)
58,Qualcomm,QCOM,0.30%,170.22,2.18,(1.30%)
59,AT&T,T,0.29%,25.49,-0.3,(-1.18%)
60,NextEra Energy,NEE,0.29%,84.57,-0.08,(-0.09%)
61,Intuit,INTU,0.29%,632.22,0.6,(0.09%)
62,Amphenol,APH,0.28%,142.05,2.83,(2.03%)
63,ServiceNow,NOW,0.28%,828.64,6.57,(0.80%)
64,Verizon,VZ,0.28%,40.49,-0.26,(-0.63%)
65,TJX Companies,TJX,0.27%,149.81,-1.32,(-0.88%)
66,Booking Holdings,BKNG,0.27%,5143.62,251.81,(5.15%)
67,Charles Schwab Corporation,SCHW,0.27%,92.69,-0.0,(-0.01%)
68,GE Vernova,GEV,0.27%,606.07,29.17,(5.06%)
69,Accenture,ACN,0.26%,262.1,4.67,(1.82%)
70,BlackRock,BLK,0.26%,1039.22,-0.73,(-0.07%)
71,Danaher Corporation,DHR,0.26%,226.79,2.65,(1.18%)
72,Arista Networks,ANET,0.26%,127.07,-1.04,(-0.81%)
73,Texas Instruments,TXN,0.26%,174.83,6.67,(3.97%)
74,KLA Corporation,KLAC,0.25%,1186.64,29.45,(2.55%)
75,Boeing,BA,0.25%,204.13,17.67,(9.47%)
76,Gilead Sciences,GILD,0.25%,123.58,-0.75,(-0.61%)
77,S&P Global,SPGI,0.24%,492.5,-2.77,(-0.56%)
78,Boston Scientific,BSX,0.24%,100.26,-0.75,(-0.74%)
79,Pfizer,PFE,0.23%,25.17,-0.11,(-0.42%)
80,Capital One,COF,0.23%,223.5,3.13,(1.42%)
81,Stryker Corporation,SYK,0.23%,366.35,-5.97,(-1.60%)
82,Welltower,WELL,0.23%,203.4,-0.5,(-0.25%)
83,Union Pacific Corporation,UNP,0.22%,231.38,0.02,(0.01%)
84,Lowe's,LOW,0.22%,243.38,-3.01,(-1.22%)
85,Adobe Inc.,ADBE,0.22%,324.97,2.12,(0.66%)
86,Progressive Corporation,PGR,0.22%,228.59,0.77,(0.34%)
87,Palo Alto Networks,PANW,0.22%,191.35,3.62,(1.93%)
88,Analog Devices,ADI,0.22%,272.14,5.63,(2.11%)
89,Medtronic,MDT,0.21%,102.11,-1.23,(-1.20%)
90,Eaton Corporation,ETN,0.21%,335.94,-3.77,(-1.11%)
91,CrowdStrike,CRWD,0.21%,517.27,13.14,(2.61%)
92,Deere & Company,DE,0.21%,471.05,2.94,(0.63%)
93,Honeywell,HON,0.20%,192.67,2.44,(1.29%)
94,Prologis,PLD,0.19%,128.93,0.0,(0.00%)
95,Chubb Limited,CB,0.19%,294.13,0.25,(0.09%)
96,"Robinhood Markets, Inc.",HOOD,0.19%,127.55,4.31,(3.50%)
97,Constellation Energy,CEG,0.18%,364.88,5.83,(1.62%)
98,HCA Healthcare,HCA,0.18%,498.77,-4.23,(-0.84%)
99,Blackstone Inc.,BX,0.18%,147.0,0.65,(0.44%)
100,ConocoPhillips,COP,0.18%,89.27,-0.99,(-1.10%)
101,KKR,KKR,0.18%,123.69,1.5,(1.23%)
102,Vertex Pharmaceuticals,VRTX,0.18%,434.05,8.44,(1.98%)
103,Parker Hannifin,PH,0.18%,856.11,-0.01,(-0.00%)
104,Automatic Data Processing,ADP,0.17%,256.99,1.15,(0.45%)
105,McKesson Corporation,MCK,0.17%,829.94,-26.95,(-3.15%)
106,Lockheed Martin,LMT,0.17%,440.0,0.81,(0.18%)
107,CME Group,CME,0.16%,276.22,-2.77,(-0.99%)
108,CVS Health,CVS,0.16%,77.79,-1.31,(-1.66%)
109,Bristol Myers Squibb,BMY,0.16%,48.42,-0.77,(-1.56%)
110,Altria,MO,0.16%,58.58,-0.56,(-0.96%)
111,Comcast,CMCSA,0.16%,26.98,0.4,(1.52%)
112,Newmont,NEM,0.16%,89.64,-2.19,(-2.39%)
113,Southern Company,SO,0.16%,88.49,-0.52,(-0.59%)
114,Starbucks,SBUX,0.16%,84.89,-0.02,(-0.03%)
115,"Nike, Inc.",NKE,0.16%,64.79,-0.6,(-0.92%)
116,Duke Energy,DUK,0.15%,119.56,-1.19,(-0.98%)
117,DoorDash,DASH,0.15%,212.11,6.53,(3.18%)
118,Dell Technologies,DELL,0.15%,136.04,3.95,(2.99%)
119,Trane Technologies,TT,0.15%,411.02,0.86,(0.21%)
120,3M,MMM,0.15%,171.45,0.97,(0.57%)
121,General Dynamics,GD,0.15%,335.12,2.74,(0.82%)
122,Marsh McLennan,MMC,0.15%,183.68,-0.32,(-0.17%)
123,Intercontinental Exchange,ICE,0.14%,155.53,-1.41,(-0.90%)
124,Moody's Corporation,MCO,0.14%,489.02,1.78,(0.37%)
125,Cadence Design Systems,CDNS,0.14%,317.1,7.48,(2.41%)
126,Waste Management,WM,0.14%,214.18,-1.75,(-0.81%)
127,O'Reilly Auto Parts,ORLY,0.14%,99.67,-1.57,(-1.55%)
128,Synopsys,SNPS,0.14%,449.65,11.36,(2.59%)
129,Sherwin-Williams,SHW,0.14%,336.74,-4.75,(-1.39%)
130,American Tower,AMT,0.13%,176.29,0.02,(0.01%)
131,Marriott International,MAR,0.13%,304.25,0.81,(0.27%)
132,United Parcel Service,UPS,0.13%,95.16,-0.06,(-0.07%)
133,Howmet Aerospace,HWM,0.13%,196.81,-1.94,(-0.97%)
134,BNY Mellon,BK,0.13%,112.24,0.43,(0.38%)
135,Northrop Grumman,NOC,0.13%,547.22,1.71,(0.31%)
136,Regeneron Pharmaceuticals,REGN,0.13%,742.53,-7.58,(-1.01%)
137,U.S. Bancorp,USB,0.13%,49.9,0.49,(0.98%)
138,Apollo Global Management,APO,0.13%,132.93,1.54,(1.17%)
139,Ecolab,ECL,0.12%,270.59,-2.27,(-0.83%)
140,PNC Financial Services,PNC,0.12%,192.77,0.37,(0.19%)
141,TransDigm Group,TDG,0.12%,1337.52,-17.34,(-1.28%)
142,Aon,AON,0.12%,346.99,-4.18,(-1.19%)
143,Cintas,CTAS,0.12%,184.72,-0.71,(-0.38%)
144,Emerson Electric,EMR,0.12%,132.08,0.14,(0.10%)
145,Williams Companies,WMB,0.12%,60.34,-1.1,(-1.79%)
146,Monster Beverage,MNST,0.12%,75.26,-0.69,(-0.91%)
147,Elevance Health,ELV,0.12%,329.74,0.06,(0.02%)
148,Cigna,CI,0.12%,273.68,0.11,(0.04%)
149,Airbnb,ABNB,0.12%,119.65,0.85,(0.71%)
150,Coinbase Global,COIN,0.12%,269.04,9.2,(3.54%)
151,Royal Caribbean Group,RCL,0.12%,265.62,-0.99,(-0.37%)
152,Illinois Tool Works,ITW,0.12%,247.95,0.46,(0.19%)
153,Corning Inc.,GLW,0.12%,83.76,0.86,(1.04%)
154,Mondelez International,MDLZ,0.12%,55.64,-0.76,(-1.35%)
155,Equinix,EQIX,0.12%,726.56,-6.72,(-0.92%)
156,Johnson Controls,JCI,0.11%,115.19,0.25,(0.22%)
157,Cummins,CMI,0.11%,502.54,6.39,(1.29%)
158,General Motors,GM,0.11%,73.49,0.53,(0.73%)
159,Cencora,COR,0.11%,349.75,-10.37,(-2.88%)
160,Quanta Services,PWR,0.11%,454.31,2.08,(0.46%)
161,TE Connectivity,TEL,0.11%,229.74,3.99,(1.77%)
162,Republic Services,RSG,0.11%,213.45,-0.62,(-0.29%)
163,Autodesk,ADSK,0.11%,309.61,4.49,(1.47%)
164,Hilton Worldwide,HLT,0.11%,281.98,-1.06,(-0.37%)
165,Norfolk Southern Railway,NSC,0.11%,289.68,-0.15,(-0.05%)
166,CSX Corporation,CSX,0.10%,34.67,-0.19,(-0.53%)
167,Travelers Companies (The),TRV,0.10%,288.89,-1.62,(-0.56%)
168,AutoZone,AZO,0.10%,3850.5,-96.49,(-2.44%)
169,American Electric Power,AEP,0.10%,118.99,-1.52,(-1.26%)
170,FedEx,FDX,0.10%,268.7,-4.64,(-1.70%)
171,Colgate-Palmolive,CL,0.10%,78.58,-1.36,(-1.70%)
172,Arthur J. Gallagher & Co.,AJG,0.10%,244.85,-1.25,(-0.51%)
173,Motorola Solutions,MSI,0.10%,375.05,1.7,(0.45%)
174,Fortinet,FTNT,0.10%,82.93,1.11,(1.35%)
175,Freeport-McMoRan,FCX,0.10%,42.72,-0.35,(-0.82%)
176,Warner Bros. Discovery,WBD,0.10%,24.52,0.65,(2.74%)
177,Kinder Morgan,KMI,0.10%,26.88,-0.41,(-1.52%)
178,Truist Financial,TFC,0.10%,46.61,0.03,(0.08%)
179,Simon Property Group,SPG,0.10%,182.01,-3.13,(-1.69%)
180,PayPal,PYPL,0.10%,63.5,0.92,(1.47%)
181,Sempra,SRE,0.10%,90.84,-0.66,(-0.72%)
182,EOG Resources,EOG,0.10%,108.88,-0.83,(-0.76%)
183,Vistra Corp.,VST,0.10%,174.23,0.59,(0.34%)
184,Seagate Technology,STX,0.10%,269.32,-0.78,(-0.29%)
185,Idexx Laboratories,IDXX,0.10%,734.78,5.81,(0.80%)
186,Marathon Petroleum,MPC,0.09%,193.27,-2.88,(-1.47%)
187,Ross Stores,ROST,0.09%,177.7,0.19,(0.11%)
188,Air Products,APD,0.09%,257.11,-3.75,(-1.44%)
189,Aflac,AFL,0.09%,109.08,-0.47,(-0.43%)
190,Western Digital,WDC,0.09%,163.14,-0.4,(-0.24%)
191,"Workday, Inc.",WDAY,0.09%,211.96,-1.39,(-0.65%)
192,Phillips 66,PSX,0.09%,138.14,-1.62,(-1.16%)
193,Paccar,PCAR,0.09%,105.67,1.7,(1.64%)
194,Datadog,DDOG,0.09%,157.38,-0.53,(-0.33%)
195,Zoetis,ZTS,0.09%,125.13,-2.12,(-1.67%)
196,Allstate,ALL,0.09%,209.7,-0.3,(-0.14%)
197,Valero Energy,VLO,0.09%,179.54,-1.0,(-0.55%)
198,Becton Dickinson,BDX,0.09%,190.17,-1.66,(-0.86%)
199,Schlumberger,SLB,0.09%,36.33,-0.27,(-0.75%)
200,Digital Realty,DLR,0.09%,156.4,0.01,(0.00%)
201,NXP Semiconductors,NXPI,0.09%,213.32,13.83,(6.93%)
202,Realty Income,O,0.09%,57.24,-0.19,(-0.34%)
203,Ford Motor Company,F,0.08%,12.97,-0.2,(-1.48%)
204,Dominion Energy,D,0.08%,60.25,-0.55,(-0.90%)
205,L3Harris,LHX,0.08%,273.7,1.38,(0.51%)
206,United Rentals,URI,0.08%,803.39,-1.86,(-0.23%)
207,Electronic Arts,EA,0.08%,203.0,0.38,(0.19%)
208,"Nasdaq, Inc.",NDAQ,0.08%,88.27,-1.09,(-1.22%)
209,MetLife,MET,0.08%,76.25,-0.06,(-0.08%)
210,Edwards Lifesciences,EW,0.08%,84.21,-1.06,(-1.25%)
211,Baker Hughes,BKR,0.08%,49.3,-0.86,(-1.71%)
212,Cardinal Health,CAH,0.08%,204.31,-3.69,(-1.77%)
213,Roper Technologies,ROP,0.08%,444.56,0.98,(0.22%)
214,Public Storage,PSA,0.08%,271.64,0.49,(0.18%)
215,CBRE Group,CBRE,0.08%,159.02,-0.32,(-0.20%)
216,Xcel Energy,XEL,0.08%,78.73,-1.0,(-1.25%)
217,Las Vegas Sands,LVS,0.08%,68.61,-0.88,(-1.27%)
218,D. R. Horton,DHI,0.08%,158.33,0.96,(0.61%)
219,Fastenal,FAST,0.08%,40.27,0.12,(0.31%)
220,ONEOK,OKE,0.07%,73.35,-0.34,(-0.45%)
221,Take-Two Interactive,TTWO,0.07%,247.9,-1.44,(-0.58%)
222,Monolithic Power Systems,MPWR,0.07%,955.06,26.71,(2.88%)
223,Ametek,AME,0.07%,197.38,1.77,(0.91%)
224,Exelon,EXC,0.07%,45.05,-0.64,(-1.41%)
225,W. W. Grainger,GWW,0.07%,955.15,10.27,(1.09%)
226,Chipotle Mexican Grill,CMG,0.07%,34.29,0.04,(0.13%)
227,Carrier Global,CARR,0.07%,53.75,-0.5,(-0.92%)
228,Diamondback Energy,FANG,0.07%,155.89,-0.28,(-0.18%)
229,Corteva,CTVA,0.07%,65.52,-1.02,(-1.53%)
230,Kroger,KR,0.07%,66.5,-1.05,(-1.55%)
231,Rockwell Automation,ROK,0.07%,392.33,2.37,(0.61%)
232,Delta Air Lines,DAL,0.07%,65.58,1.43,(2.23%)
233,Axon Enterprise,AXON,0.07%,540.67,7.46,(1.40%)
234,Ameriprise Financial,AMP,0.07%,457.64,2.73,(0.60%)
235,Fair Isaac,FICO,0.07%,1789.82,21.13,(1.19%)
236,Agilent Technologies,A,0.07%,149.53,-0.57,(-0.38%)
237,Entergy,ETR,0.07%,93.31,-1.28,(-1.35%)
238,American International Group,AIG,0.07%,76.69,0.08,(0.11%)
239,Occidental Petroleum,OXY,0.07%,41.98,-0.36,(-0.85%)
240,MSCI,MSCI,0.07%,550.45,-9.21,(-1.65%)
241,Yum! Brands,YUM,0.07%,147.27,-3.37,(-2.24%)
242,Target Corporation,TGT,0.07%,89.86,-1.5,(-1.64%)
243,Public Service Enterprise Group,PEG,0.07%,80.31,-1.26,(-1.55%)
244,Paychex,PAYX,0.06%,110.42,-0.12,(-0.11%)
245,IQVIA,IQV,0.06%,227.92,-0.56,(-0.24%)
246,Crown Castle,CCI,0.06%,88.26,-0.24,(-0.27%)
247,Vulcan Materials Company,VMC,0.06%,288.67,-3.18,(-1.09%)
248,Keurig Dr Pepper,KDP,0.06%,28.01,-0.17,(-0.59%)
249,Garmin,GRMN,0.06%,197.71,0.83,(0.42%)
250,"Block, Inc.",XYZ,0.06%,62.37,-1.98,(-3.07%)
251,Prudential Financial,PRU,0.06%,108.02,-0.2,(-0.18%)
252,Copart,CPRT,0.06%,38.98,-0.17,(-0.44%)
253,Hartford (The),HIG,0.06%,135.4,-0.1,(-0.07%)
254,Ventas,VTR,0.06%,80.24,-0.15,(-0.19%)
255,eBay,EBAY,0.06%,83.02,0.28,(0.34%)
256,Cognizant,CTSH,0.06%,77.6,0.17,(0.22%)
257,Targa Resources,TRGP,0.06%,173.17,-3.51,(-1.99%)
258,EQT Corporation,EQT,0.06%,59.34,-1.18,(-1.95%)
259,Hershey Company (The),HSY,0.06%,181.86,-3.22,(-1.74%)
260,Nucor,NUE,0.06%,160.47,-0.23,(-0.15%)
261,ResMed,RMD,0.06%,251.42,3.04,(1.22%)
262,Martin Marietta Materials,MLM,0.06%,607.23,-8.02,(-1.30%)
263,GE HealthCare,GEHC,0.06%,80.03,0.79,(0.99%)
264,Estée Lauder Companies (The),EL,0.06%,99.78,5.07,(5.35%)
265,Kimberly-Clark,KMB,0.06%,107.02,-1.52,(-1.40%)
266,Sysco,SYY,0.06%,74.11,-1.8,(-2.37%)
267,Wabtec,WAB,0.06%,207.53,-1.12,(-0.54%)
268,WEC Energy Group,WEC,0.06%,107.96,-1.38,(-1.26%)
269,Consolidated Edison,ED,0.06%,96.89,-0.99,(-1.01%)
270,Fidelity National Information Services,FIS,0.06%,66.97,0.77,(1.16%)
271,Keysight Technologies,KEYS,0.06%,200.45,2.91,(1.47%)
272,"Fiserv, Inc.",FISV,0.06%,63.36,0.66,(1.06%)
273,United Airlines Holdings,UAL,0.06%,105.21,4.08,(4.04%)
274,Otis Worldwide,OTIS,0.06%,87.37,-0.78,(-0.88%)
275,Carnival,CCL,0.06%,25.92,-0.02,(-0.06%)
276,Xylem Inc.,XYL,0.06%,139.52,0.11,(0.08%)
277,PG&E Corporation,PCG,0.06%,15.45,-0.39,(-2.49%)
278,Arch Capital Group,ACGL,0.05%,92.66,-0.5,(-0.54%)
279,State Street Corporation,STT,0.05%,118.74,0.62,(0.52%)
280,Kenvue,KVUE,0.05%,17.0,-0.22,(-1.31%)
281,Expedia Group,EXPE,0.05%,262.95,4.0,(1.54%)
282,Lennar,LEN,0.05%,129.62,-0.61,(-0.47%)
283,NRG Energy,NRG,0.05%,164.17,-1.49,(-0.90%)
284,Verisk Analytics,VRSK,0.05%,225.39,1.38,(0.62%)
285,Ingersoll Rand,IR,0.05%,79.31,0.12,(0.15%)
286,Raymond James Financial,RJF,0.05%,156.18,0.35,(0.22%)
287,Willis Towers Watson,WTW,0.05%,316.93,-3.86,(-1.20%)
288,Vici Properties,VICI,0.05%,28.27,-0.32,(-1.14%)
289,Microchip Technology,MCHP,0.05%,55.84,2.41,(4.51%)
290,Live Nation Entertainment,LYV,0.05%,129.53,-1.57,(-1.20%)
291,Sandisk Corporation,SNDK,0.05%,205.03,-5.14,(-2.45%)
292,Mettler Toledo,MTD,0.05%,1459.16,-8.93,(-0.61%)
293,Teradyne,TER,0.05%,190.16,10.53,(5.86%)
294,M&T Bank,MTB,0.05%,191.57,1.35,(0.71%)
295,Old Dominion,ODFL,0.05%,140.58,0.91,(0.65%)
296,Kraft Heinz,KHC,0.05%,24.75,-0.63,(-2.46%)
297,"Rollins, Inc.",ROL,0.05%,60.74,-0.45,(-0.73%)
298,Hewlett Packard Enterprise,HPE,0.05%,22.09,0.14,(0.66%)
299,Fifth Third Bancorp,FITB,0.05%,43.95,0.18,(0.41%)
300,Archer Daniels Midland,ADM,0.05%,60.28,-0.24,(-0.40%)
301,Humana,HUM,0.05%,240.48,-1.75,(-0.72%)
302,Kellanova,K,0.05%,83.12,0.05,(0.05%)
303,CoStar Group,CSGP,0.05%,68.18,0.16,(0.24%)
304,Expand Energy,EXE,0.05%,119.8,-1.78,(-1.46%)
305,Interactive Brokers Group,IBKR,0.05%,63.92,0.38,(0.59%)
306,Synchrony Financial,SYF,0.05%,78.85,0.8,(1.02%)
307,First Solar,FSLR,0.05%,264.61,1.07,(0.41%)
308,Tractor Supply,TSCO,0.05%,53.27,-0.39,(-0.73%)
309,W. R. Berkley Corporation,WRB,0.05%,73.66,0.68,(0.93%)
310,Extra Space Storage,EXR,0.05%,131.34,-0.6,(-0.45%)
