,sector,industry,market_cap,country,full_name,revenue_growth,earnings_growth,earnings_quarterly_growth,beta,52week_high,52week_low,52week_change,recommendation,recommendation_mean,target_mean_price,target_high_price,target_low_price,error
NVDA,Technology,Semiconductors,122258043254.2793,United States,NVIDIA Corporation,0.556,0.612,0.592,2.269,212.19,86.62,0.36453545,strong_buy,1.34375,229.67159,350.0,100.0,
AAPL,Technology,Consumer Electronics,2969242012136.844,United States,Apple Inc.,0.079,0.912,0.864,1.109,277.32,169.21,0.2124641,buy,2.0,280.45538,345.0,215.0,
MSFT,Technology,Software - Infrastructure,2758923082734.4688,United States,Microsoft Corporation,0.184,0.127,0.125,1.065,555.45,344.79,0.22407067,strong_buy,1.21053,626.6496,730.0,483.0,
AMZN,Consumer Cyclical,Internet Retail,1570148004677.8125,United States,"Amazon.com, Inc.",0.134,0.364,0.382,1.368,258.6,161.38,0.20392096,strong_buy,1.29851,292.27655,351.87,250.0,
GOOGL,Communication Services,Internet Content & Information,1743542615932.8906,United States,Alphabet Inc.,0.159,0.353,0.33,1.082,291.59,140.53,0.57237554,strong_buy,1.48485,314.18222,360.0,185.0,
AVGO,Technology,Semiconductors,51197756419.65918,United States,Broadcom Inc.,0.164,1.881,1.727,1.21,386.48,138.1,0.9601226,strong_buy,1.28261,393.967,480.0,273.4,
GOOG,Communication Services,Internet Content & Information,1743394977032.9062,United States,Alphabet Inc.,0.159,0.353,0.33,1.082,291.93,142.66,0.55924416,strong_buy,1.49254,303.66876,345.0,185.0,
META,Communication Services,Internet Content & Information,904054399019.1562,United States,"Meta Platforms, Inc.",0.262,-0.826,-0.827,1.272,796.25,479.8,0.09661746,strong_buy,1.44118,843.08215,1117.0,560.0,
TSLA,Consumer Cyclical,Auto Manufacturers,789898012115.4688,United States,"Tesla, Inc.",0.116,-0.371,-0.368,1.872,488.54,214.25,0.5397359,hold,2.61702,392.04977,600.0,120.0,
BRK-B,Financial Services,Insurance - Diversified,776891086376.9531,United States,Berkshire Hathaway Inc.,0.021,0.172,0.173,0.709,542.07,440.1,0.040008545,buy,1.75,528.0,595.0,479.0,
JPM,Financial Services,Banks - Diversified,470335299722.0625,United States,JPMorgan Chase & Co.,0.088,0.16,0.116,1.076,318.01,202.16,0.2517202,buy,2.28,327.69565,370.0,250.0,
LLY,Healthcare,Drug Manufacturers - General,546512811392.1328,United States,Eli Lilly and Company,0.539,4.804,4.753,0.389,955.41,623.78,0.16806209,buy,1.75862,921.1859,1190.0,700.0,
WMT,Consumer Defensive,Discount Stores,138757797913.42188,United States,Walmart Inc.,0.048,0.573,0.561,0.649,109.58,79.81,0.22567117,strong_buy,1.34884,113.6,129.0,60.0,
ORCL,Unknown,Unknown,85198809637.60518,,,,,,,,,,,,,,,'NoneType' object has no attribute 'empty'
V,Financial Services,Credit Services,528309272955.75,United States,Visa Inc.,0.115,0.13,-0.043,0.82,375.51,299.0,0.107026696,buy,1.625,394.70163,450.0,305.0,
MA,Financial Services,Credit Services,395575000134.7676,United States,Mastercard Incorporated,0.167,0.229,0.203,0.868,601.77,465.59,0.06067586,buy,1.65789,654.9771,768.0,520.0,
XOM,Energy,Oil & Gas Integrated,375996099575.49023,United States,Exxon Mobil Corporation,-0.051,-0.083,-0.123,0.378,123.21,97.8,-0.05669421,buy,2.25926,127.24,156.0,105.0,
NFLX,Communication Services,Entertainment,213097640537.10938,United States,"Netflix, Inc.",0.172,0.087,0.078,1.703,1341.15,757.38,0.40085363,buy,1.85714,1347.3231,1600.0,770.0,
JNJ,Healthcare,Drug Manufacturers - General,357128359886.46094,United States,Johnson & Johnson,0.068,0.91,0.912,0.358,194.48,140.68,0.18355715,buy,2.16667,199.55522,225.0,155.0,
PLTR,Technology,Software - Infrastructure,37361748740.73486,United States,Palantir Technologies Inc.,0.628,2.0,2.314,1.477,207.52,51.61,2.4349,hold,2.96,181.83409,255.0,50.0,
AMD,Technology,Semiconductors,238140865633.2578,United States,"Advanced Micro Devices, Inc.",0.317,2.336,2.291,1.913,267.08,76.48,0.72329426,buy,1.64706,266.36047,350.0,134.2,
COST,Consumer Defensive,Discount Stores,289683751515.625,United States,Costco Wholesale Corporation,0.081,0.11,0.109,0.982,1078.23,871.71,0.046138406,buy,2.0,1056.9678,1218.0,640.0,
BAC,Financial Services,Banks - Diversified,255280797414.89062,United States,Bank of America Corporation,0.126,0.315,0.228,1.304,54.0,33.07,0.17903543,buy,1.64,58.22917,67.0,46.0,
ABBV,Healthcare,Drug Manufacturers - General,255039139630.0996,United States,AbbVie Inc.,0.091,-0.886,-0.881,0.352,244.81,163.81,0.073011875,buy,1.93103,240.39464,289.0,184.0,
HD,Consumer Cyclical,Home Improvement Retail,330597199527.3828,United States,"The Home Depot, Inc.",0.049,-0.004,-0.002,1.046,439.37,326.31,-0.013621032,buy,1.78378,438.84848,497.0,335.0,
PG,Consumer Defensive,Household & Personal Products,328315015573.9922,United States,The Procter & Gamble Company,0.03,0.214,0.2,0.381,180.43,145.65,-0.08618444,buy,2.0,169.04546,186.0,148.0,
GE,Industrials,Aerospace & Defense,109637407819.7754,United States,GE Aerospace,0.238,0.193,0.165,1.401,316.67,159.36,0.68289447,strong_buy,1.375,343.57144,374.0,279.0,
CVX,Energy,Oil & Gas Integrated,260868985853.625,United States,Chevron Corporation,-0.014,-0.266,-0.211,0.669,168.96,132.04,-0.02745372,buy,2.14815,172.16,197.0,124.0,
UNH,Healthcare,Healthcare Plans,471061549167.3535,United States,UnitedHealth Group Incorporated,0.122,-0.602,-0.612,0.429,630.73,234.6,-0.445558,buy,2.0,385.4,440.0,198.0,
KO,Consumer Defensive,Beverages - Non-Alcoholic,241829511007.5,United States,The Coca-Cola Company,0.051,0.301,0.298,0.398,74.38,60.62,0.077865005,buy,1.58333,79.13043,85.0,72.0,
