,sector,industry,market_cap,country,full_name,pe_ratio,forward_pe,peg_ratio,price_to_book,price_to_sales,enterprise_value,ev_to_ebitda,dividend_yield,dividend_rate,payout_ratio,five_year_avg_dividend_yield,profit_margins,operating_margins,gross_margins,roe,roa,revenue_growth,earnings_growth,earnings_quarterly_growth,beta,52week_high,52week_low,52week_change,current_ratio,quick_ratio,debt_to_equity,total_debt,total_cash,recommendation,recommendation_mean,target_mean_price,target_high_price,target_low_price,number_of_analysts,employees,exchange,quote_type,main_cluster,n_clusters
NVDA,Technology,Semiconductors,4383190548480,United States,NVIDIA Corporation,51.43714,43.6966,,43.77097,26.529741,4529983062016.0,46.092,0.02,0.04,0.0114,0.06,0.52414,0.60842997,0.69847,1.09417,0.53094,0.556,0.612,0.592,2.123,195.62,86.62,0.4310031,4.214,3.488,10.584,10597999616.0,56790999040.0,strong_buy,1.375,216.40842,300.0,100.0,57.0,36000.0,NMS,EQUITY,cube3_cluster1,2
MSFT,Technology,Software - Infrastructure,3821019332608,United States,Microsoft Corporation,37.70705,34.35251,,11.115272,13.562988,3838638292992.0,24.524,0.71,3.64,0.2375,0.81,0.36146,0.44901,0.68824,0.33280998,0.14203,0.181,0.237,0.236,1.023,555.45,344.79,0.22761142,1.353,1.223,32.661,112184000512.0,94564999168.0,strong_buy,1.25862,620.7369,710.0,483.0,51.0,228000.0,NMS,EQUITY,cube3_cluster0,2
AAPL,Technology,Consumer Electronics,3677003448320,United States,Apple Inc.,37.597874,29.815884,,55.917397,8.998479,3723329536000.0,26.277,0.42,1.04,0.1533,0.54,0.24295999,0.29990998,0.46678,1.49814,0.24545999,0.096,0.121,0.093,1.094,260.1,169.21,0.05905497,0.868,0.724,154.486,101698002944.0,55372001280.0,buy,2.08333,248.1203,310.0,175.0,41.0,150000.0,NMS,EQUITY,cube2_cluster0,2
AMZN,Consumer Cyclical,Internet Retail,2347027136512,United States,"Amazon.com, Inc.",33.54884,35.185364,,6.9109898,3.5028267,2374170312704.0,17.74,,,0.0,,0.105399996,0.11432,0.49607,0.2477,0.07699,0.133,0.333,0.347,1.281,242.52,161.38,0.17251849,1.024,0.768,47.808,159570001920.0,93180002304.0,strong_buy,1.29412,266.5645,306.0,230.0,62.0,1546000.0,NMS,EQUITY,cube2_cluster0,2
META,Communication Services,Internet Content & Information,1797939789824,United States,"Meta Platforms, Inc.",25.976906,28.009884,,9.140098,10.0553665,1782718005248.0,18.909,0.29,2.1,0.0744,,0.39992002,0.43019,0.81966,0.40647998,0.18465,0.216,0.384,0.362,1.203,796.25,479.8,0.22076857,1.973,1.706,25.406,49559998464.0,47070998528.0,strong_buy,1.41176,867.61176,1086.0,658.0,62.0,75945.0,NMS,EQUITY,cube2_cluster0,2
AVGO,Technology,Semiconductors,1684467613696,United States,Broadcom Inc.,91.768,55.774715,,5.8109455,28.109129,170816421888.0,5.216,0.66,2.36,0.5897,2.19,0.31592,0.31765,0.77185,0.27083,0.08895001,0.164,1.881,1.727,1.208,374.23,138.1,1.0269349,1.497,1.279,166.032,40456998912.0,11105000448.0,strong_buy,1.2766,381.71335,460.0,218.0,42.0,37000.0,NMS,EQUITY,cube3_cluster1,2
GOOGL,Communication Services,Internet Content & Information,2955410931712,United States,Alphabet Inc.,26.028631,27.393972,,8.186306,7.957509,2926642462720.0,20.78,0.34,0.84,0.0864,,0.31118,0.32429,0.58943003,0.34829,0.16792,0.138,0.223,0.194,1.0,256.0,140.53,0.4755832,1.904,1.72,11.481,41668001792.0,95147999232.0,buy,1.52239,248.03471,340.0,185.0,53.0,187103.0,NMS,EQUITY,cube3_cluster0,2
GOOG,Communication Services,Internet Content & Information,2955410931712,United States,Alphabet Inc.,26.107105,27.507263,,8.210986,7.957509,2923941855232.0,20.761,0.34,0.84,0.0864,,0.31118,0.32429,0.58943003,0.34829,0.16792,0.138,0.223,0.194,1.0,256.7,142.66,0.4657879,1.904,1.72,11.481,41668001792.0,95147999232.0,buy,1.51471,242.20557,285.0,185.0,18.0,187103.0,NMS,EQUITY,cube3_cluster0,2
TSLA,Consumer Cyclical,Auto Manufacturers,1449433235456,United States,"Tesla, Inc.",257.02994,132.48148,,17.89917,15.632369,1361601626112.0,119.021,,,0.0,,0.063439995,0.04103,0.1748,0.08177,0.0296,-0.118,-0.175,-0.163,2.086,488.54,212.11,0.9852439,2.037,1.359,16.823,13134000128.0,36781998080.0,hold,2.55556,362.34,600.0,120.0,38.0,125665.0,NMS,EQUITY,cube2_cluster1,2
BRK-B,Financial Services,Insurance - Diversified,1070096515072,United States,Berkshire Hathaway Inc.,17.002743,24.699701,,0.0010681922,2.8909729,-214076489728.0,-2.18,,,0.0,,0.16997999,0.22427,0.22995001,0.099139996,0.04681,-0.012,-0.593,-0.592,0.77,542.07,437.9,0.06321859,3.002,2.801,18.95,127019999232.0,344091000832.0,buy,2.0,521.0,597.0,479.0,3.0,392400.0,NYQ,EQUITY,cube2_cluster0,2
WMT,Consumer Defensive,Discount Stores,854769401856,United States,Walmart Inc.,38.564747,39.41544,,9.48845,1.2331613,918644391936.0,21.424,0.92,0.94,0.33400002,1.36,0.03079,0.04389,0.2491,0.23375,0.06994,0.048,0.573,0.561,0.671,107.92,79.81,0.25070417,0.792,0.193,68.719,66559000576.0,9431000064.0,strong_buy,1.35714,112.94872,129.0,64.0,39.0,2100000.0,NYQ,EQUITY,cube3_cluster0,2
ORCL,Technology,Software - Infrastructure,878072627200,United States,Oracle Corporation,69.37355,41.759777,,35.168198,14.878048,976405331968.0,39.914,0.65,2.0,0.41669998,1.33,0.21079999,0.31381,0.69662005,0.69241995,0.07152,0.122,-0.019,-0.001,1.531,345.72,118.86,0.7692573,0.618,0.498,452.534,111621996544.0,11004999680.0,buy,1.86047,333.9298,415.0,175.14314,37.0,162000.0,NYQ,EQUITY,cube3_cluster1,2
JPM,Financial Services,Banks - Diversified,846841643008,United States,JPMorgan Chase & Co.,15.799162,18.0454,,2.6026568,5.171615,494838710272.0,,1.95,6.0,0.2718,2.5,0.34524,0.43749002,0.0,0.16211,0.012999999,-0.106,-0.144,-0.174,1.127,318.01,202.16,0.3848195,,,,1165543997440.0,1537592000512.0,buy,2.28,322.6087,370.0,235.0,23.0,317160.0,NYQ,EQUITY,cube3_cluster0,2
LLY,Healthcare,Drug Manufacturers - General,728236621824,United States,Eli Lilly and Company,53.025455,35.849514,,39.869938,13.673725,772115791872.0,31.165,0.73,6.0,0.366,1.04,0.25911,0.45805,0.82638,0.86291003,0.16553,0.376,0.918,0.908,0.461,935.63,623.78,-0.10283363,1.278,0.512,217.891,39980998656.0,3545999872.0,buy,1.78571,891.00073,1190.0,650.0,27.0,47000.0,NYQ,EQUITY,cube2_cluster1,2
V,Financial Services,Credit Services,666325352448,United States,Visa Inc.,33.562622,27.518167,,17.78992,17.13227,678080544768.0,24.896,0.69,2.36,0.2236,0.67,0.52158,0.66772,0.97780997,0.51755,0.17049,0.143,0.121,0.082,0.897,375.51,278.35,0.22918832,1.115,0.781,65.017,25137999872.0,19179999232.0,buy,1.64103,390.6378,430.0,305.0,36.0,,NYQ,EQUITY,cube2_cluster0,2
NFLX,Communication Services,Entertainment,517997953024,United States,"Netflix, Inc.",51.805202,51.10807,,20.697023,12.424044,524977668096.0,41.584,,,0.0,,0.24579,0.3407,0.48491,0.43548,0.15049,0.159,0.473,0.455,1.593,1341.15,677.88,0.72672033,1.341,1.115,67.866,16933966848.0,8390519808.0,buy,1.87234,1358.6105,1600.0,750.0,42.0,14000.0,NMS,EQUITY,cube3_cluster0,2
MA,Financial Services,Credit Services,509579919360,United States,Mastercard Incorporated,37.735546,34.67155,,65.51915,16.850632,523030396928.0,27.861,0.54,3.04,0.1915,0.52,0.44926,0.59916,1.0,1.7694701,0.23677999,0.168,0.163,0.136,0.967,601.77,465.59,0.102537274,1.163,0.712,240.919,18969999360.0,9367000064.0,buy,1.7027,647.8,768.0,520.0,34.0,35300.0,NYQ,EQUITY,cube2_cluster0,2
XOM,Energy,Oil & Gas Integrated,478720032768,United States,Exxon Mobil Corporation,15.950284,14.268107,,1.8230375,1.451476,510726012928.0,8.187,3.53,3.96,0.5568,4.32,0.09404001,0.11729,0.3102,0.118310004,0.05277,-0.123,-0.236,-0.234,0.484,123.21,97.8,-0.067386806,1.249,0.824,14.442,38989000704.0,14352000000.0,buy,2.2963,124.5712,145.0,95.0,25.0,61000.0,NYQ,EQUITY,cube2_cluster0,2
JNJ,Healthcare,Drug Manufacturers - General,459751882752,United States,Johnson & Johnson,20.45552,18.004717,,6.4254937,5.0730124,491632885760.0,16.25,2.72,5.2,0.5375,2.8,0.25004998,0.28905,0.68412,0.30212,0.0761,0.058,0.187,0.182,0.392,194.39,140.68,0.16331506,1.006,0.678,64.686,50760998912.0,18880000000.0,buy,2.125,188.42477,214.0,155.0,23.0,138100.0,NYQ,EQUITY,cube4_cluster0,2
PLTR,Technology,Software - Infrastructure,420402823168,United States,Palantir Technologies Inc.,579.80646,382.42554,,71.896,122.18927,420738891776.0,703.82,,,0.0,,0.22185,0.26833,0.8003,0.15203,0.05669,0.48,1.167,1.436,2.595,190.0,40.36,3.176526,6.324,6.193,3.947,237812000.0,6000421888.0,none,,154.19772,215.0,45.0,22.0,4164.0,NMS,EQUITY,cube4_cluster1,2
COST,Consumer Defensive,Discount Stores,419473522688,United States,Costco Wholesale Corporation,51.273567,48.09502,,14.385089,1.5240558,414124507136.0,32.331,0.56,5.2,0.2702,0.62,0.02943,0.03878,0.12843001,0.30686,0.08833,0.081,0.11,0.109,0.964,1078.23,867.34,0.045774102,1.034,0.498,34.066,9934999552.0,15283999744.0,buy,1.97222,1060.3667,1218.0,620.0,30.0,341000.0,NMS,EQUITY,cube2_cluster0,2
ABBV,Healthcare,Drug Manufacturers - General,404771504128,United States,AbbVie Inc.,109.10953,18.88953,,-2203.173,6.9395747,471001366528.0,16.777,2.85,6.56,3.0381,3.82,0.06451,0.37522,0.71245,1.1285399,0.088690005,0.066,-0.324,-0.315,0.507,244.81,163.81,0.20035446,0.736,0.48,,70584999936.0,6466999808.0,buy,1.92857,234.26111,284.0,184.0,27.0,55000.0,NYQ,EQUITY,cube3_cluster0,2
HD,Consumer Cyclical,Home Improvement Retail,385931313152,United States,"The Home Depot, Inc.",25.779255,24.853846,,36.171284,2.3382123,830978654208.0,32.456,2.43,9.2,0.6186,2.3,0.08863,0.14478,0.33348,1.9395399,0.13713999,0.049,-0.004,-0.002,1.001,439.37,326.31,-0.08713126,1.147,0.281,580.591,61920002048.0,2804000000.0,buy,1.78378,438.84848,497.0,335.0,33.0,470000.0,NYQ,EQUITY,cube2_cluster0,2
BAC,Financial Services,Banks - Diversified,371014008832,United States,Bank of America Corporation,14.311429,13.685792,,1.3491529,3.768361,375637999616.0,,2.29,1.12,0.305,2.37,0.28514,0.30912,0.0,0.0946,0.00838,0.042,0.072,0.032,1.334,52.88,33.07,0.15946841,,,,819272024064.0,838142984192.0,buy,1.6,56.3125,66.0,46.0,24.0,213000.0,NYQ,EQUITY,cube2_cluster0,2
AMD,Technology,Semiconductors,353925955584,United States,"Advanced Micro Devices, Inc.",130.59282,42.762745,,5.9287753,11.956958,349234823168.0,63.382,,,0.0,,0.095740005,-0.01275,0.50986,0.04699,0.0219,0.317,2.336,2.291,1.894,240.1,76.48,0.38163948,2.491,1.174,6.513,3886000128.0,5866999808.0,buy,1.67308,233.43867,310.0,125.1,45.0,28000.0,NMS,EQUITY,cube3_cluster1,2
PG,Consumer Defensive,Household & Personal Products,349106798592,United States,The Procter & Gamble Company,22.668694,20.102427,,6.8181195,4.1420293,377407143936.0,15.433,2.87,4.23,0.62619996,2.41,0.18952999,0.25147,0.51338,0.31242,0.10909,0.017,0.165,0.152,0.364,180.43,146.97,-0.1502564,0.704,0.437,69.861,36525998080.0,9555999744.0,buy,2.04167,169.09091,186.0,147.0,22.0,109000.0,NYQ,EQUITY,cube1_cluster1,2
UNH,Healthcare,Healthcare Plans,325979078656,United States,UnitedHealth Group Incorporated,15.52761,12.037792,,3.4388106,0.77096784,383212093440.0,11.413,2.46,8.84,0.3684,1.47,0.05037,0.04614,0.20842,0.21653,0.06464,0.129,-0.176,-0.192,0.478,630.73,234.6,-0.35526437,0.846,0.765,75.577,79192997888.0,32020000768.0,buy,1.96154,364.16,626.0,198.0,25.0,400000.0,NYQ,EQUITY,cube1_cluster0,2
GE,Industrials,Aerospace & Defense,318216634368,United States,GE Aerospace,42.38418,57.267174,,16.630457,7.6474156,326964641792.0,31.499,0.48,1.44,0.2225,0.38,0.18642001,0.20895,0.319,0.39567003,0.046079997,0.212,0.641,0.602,1.493,307.25,159.36,0.56126356,1.037,0.681,103.37,19996999680.0,11459000320.0,strong_buy,1.4375,318.64285,350.0,266.0,14.0,53000.0,NYQ,EQUITY,cube4_cluster0,2
